SWAP.STEEM snapshot

steem-eng 23303.47108997
isaria 8112.14160000
cryptomancer 2900.76269000
martie7 2367.00000000
mydays 1766.55948077
hiveswap 1364.34500030
buysell-sr 1145.00064997
neoxian 990.00000000
goodreader 875.04799999
mfblack 434.00000000
tbnfl4sun 306.90000000
hive-engine 200.00000000
bigtakosensei 184.46076000
hdmed 177.50000000
ironshield 150.26303999
aggroed 99.98000000
carrieallen 75.00000000
gattino 69.44949000
kubak 65.00000000
zoon123 65.00000000
naha 62.98660000
rmsbodybuilding 58.89970000
remotehorst23 45.60000000
quekery 25.89799998
hottravel 25.00000000
chorock 20.00000000
vxxxc 19.84600000
jjerryhan 15.39350000
bpcvoter 14.85000000
steemshiro 13.79000000
diamond-head 11.28303000
jibonsathi 10.51227918
miketr 10.38400000
forykw 9.21799999
marohf 7.64082000
oswvin01 6.93000000
celioeguga 5.77588000
steinreich 5.00000000
erikkartmen 4.08744000
danewilliams 3.02940000
citrus-soap 2.24300000
oox 1.98999999
dhimmel 1.98000000
allics 1.80000000
ackza 1.00000000
anech512 0.91000000
ammonite 0.83050000
uyobong 0.80000000
nupulse 0.71332000
periods 0.65615000
votebetting 0.62637499
lightsplasher 0.59091000
gerber 0.50000000
bleepcoin 0.41297000
drax 0.35000000
mattuk 0.33000000
sibehgeng 0.32200000
taskmaster4450le 0.29500000
anarchy999 0.22066000
elements5 0.19206000
inri 0.18000000
piresc 0.12821000
mickowen 0.12000000
skylaa 0.08000000
exe8422 0.07795000
eos-peg 0.06040000
ankicadassi 0.06000000
cryptomonica 0.04242000
littleglove 0.04200000
arenatoken 0.03890000
xstern93 0.02800000
theatheia 0.02475000
engrsayful 0.02000000
zagorlord 0.00880000
altonos 0.00826000
b0ga4 0.00745000
mykos 0.00508998
hairyfairy 0.00342000
summertooth 0.00203998
cryptopaisa 0.00153000
iampolite 0.00099999
marketbot 0.00099998
engineermabbas 0.00098000
spinvest-leo 0.00091000
nextgen622 0.00082499
runridefly 0.00073998
wilsonthe 0.00062000
cleateles 0.00038000
loliver 0.00038000
stiant 0.00036000
jsantana 0.00016000
revisesociology 0.00006000
cryptomaniacsgr 0.00001999

93 accounts total
45045.71605001 SWAP.STEEM total

